* T-Spice 13.00 Simulation	Fri Sep 06 19:03:46 2019	C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T.sp
* Command line: tspice -o C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T.out C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T.sp 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 8                 MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 3                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 2       
*   Independent nodes - 35                   Boundary nodes - 4       
*         Total nodes - 39      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   2e-009   3e-006
TRANSIENT ANALYSIS
Time<s>           v(WL)<V>     v(BL)<V>     v(QB)<V>      v(Q)<V>
 0.000000e+000  0.0000e+000  0.0000e+000  2.1667e-001  2.1676e-001
 1.250000e-010  0.0000e+000  0.0000e+000  2.1667e-001  2.1676e-001
 1.000000e-009  0.0000e+000  0.0000e+000  2.1667e-001  2.1676e-001
 1.500000e-009  0.0000e+000  0.0000e+000  2.1667e-001  2.1676e-001
 5.500000e-009  0.0000e+000  0.0000e+000  2.1667e-001  2.1676e-001
 9.500000e-009  0.0000e+000  0.0000e+000  2.1667e-001  2.1676e-001
 1.350000e-008  0.0000e+000  0.0000e+000  2.1667e-001  2.1676e-001
 1.750000e-008  0.0000e+000  0.0000e+000  2.1667e-001  2.1676e-001
 2.000000e-008  0.0000e+000  0.0000e+000  2.1667e-001  2.1676e-001
 2.050000e-008  2.0000e-001  0.0000e+000  2.2033e-001  2.1696e-001
 2.100000e-008  4.0000e-001  0.0000e+000  2.6686e-001  8.1279e-002
 2.125000e-008  4.0000e-001  0.0000e+000  3.0150e-001  4.4262e-002
 2.374999e-008  4.0000e-001  0.0000e+000  3.7724e-001  8.3823e-003
 2.499999e-008  4.0000e-001  0.0000e+000  3.8957e-001  4.6948e-003
 2.899999e-008  4.0000e-001  0.0000e+000  3.8809e-001  5.7784e-003
 3.299999e-008  4.0000e-001  0.0000e+000  3.8886e-001  4.9364e-003
 3.699999e-008  4.0000e-001  0.0000e+000  3.8850e-001  5.6045e-003
 4.000000e-008  4.0000e-001  0.0000e+000  3.8861e-001  5.0661e-003
 4.050000e-008  2.0000e-001  2.0000e-001  3.8771e-001  4.8579e-003
 4.075000e-008  1.0000e-001  3.0000e-001  3.8795e-001  6.7047e-003
 4.100000e-008  0.0000e+000  4.0000e-001  3.8790e-001  8.0070e-003
