* T-Spice 13.00 Simulation	Fri Sep 06 19:27:02 2019	C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T_8BIT.sp
* Command line: tspice -o C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T_8BIT.out C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T_8BIT.sp 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 64                MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 10                  Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 17      
*   Independent nodes - 280                  Boundary nodes - 11      
*         Total nodes - 291     


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   2e-006   3e-006
TRANSIENT ANALYSIS
Time<s>           v(WL)<V>   v(BL_1)<V>   v(BL_2)<V>    v(Q_1)<V>    v(Q_2)<V>   v(QB_1)<V>   v(QB_2)<V>
 0.000000e+000  0.0000e+000  0.0000e+000  0.0000e+000  2.1676e-001  2.1676e-001  2.1667e-001  2.1667e-001
 1.000000e-009  0.0000e+000  0.0000e+000  0.0000e+000  2.1676e-001  2.1676e-001  2.1667e-001  2.1667e-001
 1.100000e-008  0.0000e+000  0.0000e+000  0.0000e+000  2.1676e-001  2.1676e-001  2.1667e-001  2.1667e-001
 4.000000e-008  0.0000e+000  0.0000e+000  0.0000e+000  2.1676e-001  2.1676e-001  2.1667e-001  2.1667e-001
 4.100000e-008  4.0000e-001  0.0000e+000  0.0000e+000  3.7518e-002  3.7518e-002  3.3389e-001  3.3389e-001
 4.150000e-008  4.0000e-001  0.0000e+000  0.0000e+000  1.5074e-002  1.5074e-002  3.6207e-001  3.6207e-001
 4.350763e-008  4.0000e-001  0.0000e+000  0.0000e+000  6.5690e-003  6.5690e-003  3.8356e-001  3.8356e-001
 4.451145e-008  4.0000e-001  0.0000e+000  0.0000e+000  5.1913e-003  5.1913e-003  3.8854e-001  3.8854e-001
 4.740855e-008  4.0000e-001  0.0000e+000  0.0000e+000  5.3987e-003  5.3987e-003  3.8866e-001  3.8866e-001
 6.000000e-008  4.0000e-001  0.0000e+000  0.0000e+000  5.2157e-003  5.2157e-003  3.8855e-001  3.8855e-001
 6.100000e-008  4.0000e-001  0.0000e+000  4.0000e-001  5.2942e-003  3.6215e-002  3.8860e-001  3.7789e-001
 6.150000e-008  4.0000e-001  0.0000e+000  4.0000e-001  5.3027e-003  4.7035e-002  3.8860e-001  3.5406e-001
 6.175000e-008  4.0000e-001  0.0000e+000  4.0000e-001  5.3043e-003  5.3316e-002  3.8860e-001  3.4020e-001
 6.425000e-008  4.0000e-001  0.0000e+000  4.0000e-001  5.3058e-003  1.9540e-001  3.8861e-001  9.1506e-002
 6.550000e-008  4.0000e-001  0.0000e+000  4.0000e-001  5.3047e-003  3.4112e-001  3.8860e-001  2.2963e-002
 6.612499e-008  4.0000e-001  0.0000e+000  4.0000e-001  5.3053e-003  3.7828e-001  3.8860e-001  1.3943e-002
 6.807346e-008  4.0000e-001  0.0000e+000  4.0000e-001  5.3050e-003  3.9099e-001  3.8860e-001  6.0546e-003
 7.846197e-008  4.0000e-001  0.0000e+000  4.0000e-001  5.3053e-003  3.8676e-001  3.8860e-001  9.7605e-003
 8.000000e-008  4.0000e-001  0.0000e+000  4.0000e-001  5.3051e-003  3.8872e-001  3.8860e-001  7.2877e-003
 8.100000e-008  0.0000e+000  4.0000e-001  4.0000e-001  6.1771e-003  3.8722e-001  3.8738e-001  6.7372e-003
