* T-Spice 13.00 Simulation	Fri Sep 06 19:25:17 2019	C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_7T.sp
* Command line: tspice -o C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_7T.out C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_7T.sp 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 12                MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 3       
*   Independent nodes - 53                   Boundary nodes - 5       
*         Total nodes - 58      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   2e-009   3e-006
TRANSIENT ANALYSIS
Time<s>           v(PC)<V>     v(BL)<V>     v(WL)<V>      v(Q)<V>     v(QB)<V>
 0.000000e+000  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 1.250000e-010  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 1.000000e-009  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 1.500000e-009  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 5.500000e-009  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 9.500000e-009  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 1.350000e-008  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 1.750000e-008  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 2.150000e-008  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 2.550000e-008  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 2.950000e-008  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 3.350000e-008  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 3.750000e-008  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 4.000000e-008  0.0000e+000  4.0000e-001  0.0000e+000  3.6842e-001  1.0318e-002
 4.050000e-008  2.0000e-001  4.0000e-001  0.0000e+000  3.7858e-001  1.5416e-002
 4.100000e-008  4.0000e-001  4.0000e-001  0.0000e+000  3.6531e-001  7.5083e-003
 4.125000e-008  4.0000e-001  4.0000e-001  0.0000e+000  3.4586e-001  5.0833e-003
 4.137500e-008  4.0000e-001  4.0000e-001  0.0000e+000  3.3655e-001  6.3246e-003
 4.262500e-008  4.0000e-001  4.0000e-001  0.0000e+000  2.7989e-001  4.5955e-002
 4.325000e-008  4.0000e-001  4.0000e-001  0.0000e+000  2.6329e-001  6.0552e-002
 4.591082e-008  4.0000e-001  4.0000e-001  0.0000e+000  2.1573e-001  7.7996e-002
 4.724124e-008  4.0000e-001  4.0000e-001  0.0000e+000  2.0396e-001  8.2600e-002
 5.124124e-008  4.0000e-001  4.0000e-001  0.0000e+000  1.8057e-001  8.8399e-002
 5.524124e-008  4.0000e-001  4.0000e-001  0.0000e+000  1.6603e-001  9.1903e-002
 5.924124e-008  4.0000e-001  4.0000e-001  0.0000e+000  1.5561e-001  9.3185e-002
 6.000000e-008  4.0000e-001  4.0000e-001  0.0000e+000  1.5402e-001  9.3499e-002
 6.050000e-008  2.0000e-001  4.0000e-001  2.0000e-001  1.5450e-001  9.4746e-002
 6.100000e-008  0.0000e+000  4.0000e-001  4.0000e-001  1.7897e-001  5.5565e-002
 6.125000e-008  0.0000e+000  4.0000e-001  4.0000e-001  1.9444e-001  4.6394e-002
 6.137500e-008  0.0000e+000  4.0000e-001  4.0000e-001  2.0373e-001  4.2139e-002
 6.262500e-008  0.0000e+000  4.0000e-001  4.0000e-001  3.0490e-001  1.5337e-002
 6.498708e-008  0.0000e+000  4.0000e-001  4.0000e-001  3.6872e-001  9.2440e-003
 6.616812e-008  0.0000e+000  4.0000e-001  4.0000e-001  3.6707e-001  7.8438e-003
 7.016812e-008  0.0000e+000  4.0000e-001  4.0000e-001  3.7004e-001  7.8284e-003
 7.416812e-008  0.0000e+000  4.0000e-001  4.0000e-001  3.6814e-001  7.8690e-003
 7.816812e-008  0.0000e+000  4.0000e-001  4.0000e-001  3.6958e-001  7.7688e-003
 8.216812e-008  0.0000e+000  4.0000e-001  4.0000e-001  3.6841e-001  7.9215e-003
 8.616812e-008  0.0000e+000  4.0000e-001  4.0000e-001  3.6938e-001  7.7386e-003
 9.016812e-008  0.0000e+000  4.0000e-001  4.0000e-001  3.6856e-001  7.9353e-003
 9.416812e-008  0.0000e+000  4.0000e-001  4.0000e-001  3.6926e-001  7.7372e-003
 9.816812e-008  0.0000e+000  4.0000e-001  4.0000e-001  3.6867e-001  7.9288e-003
 9.999990e-008  0.0000e+000  4.0000e-001  4.0000e-001  3.6914e-001  7.7558e-003
 1.004999e-007  0.0000e+000  2.0000e-001  2.0000e-001  3.6652e-001  3.4603e-003
 1.009999e-007  0.0000e+000  0.0000e+000  5.2736e-015  3.6687e-001  6.5816e-003
 1.014999e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.6797e-001  8.8323e-003
 1.017499e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.6825e-001  9.4650e-003
 1.042499e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.6866e-001  1.0788e-002
 1.082499e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.6822e-001  9.9888e-003
 1.122499e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.6854e-001  1.0572e-002
 1.162499e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.6830e-001  1.0146e-002
 1.202499e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.6847e-001  1.0457e-002
 1.242499e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.6835e-001  1.0230e-002
 1.282500e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.6844e-001  1.0396e-002
 1.322500e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.6838e-001  1.0275e-002
 1.362500e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.6842e-001  1.0363e-002
 1.400000e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.6839e-001  1.0299e-002
 1.405000e-007  2.0000e-001  0.0000e+000  0.0000e+000  3.7856e-001  1.5413e-002
 1.410000e-007  4.0000e-001  0.0000e+000  0.0000e+000  3.6529e-001  7.5097e-003
 1.412500e-007  4.0000e-001  0.0000e+000  0.0000e+000  3.4584e-001  5.0866e-003
 1.413749e-007  4.0000e-001  0.0000e+000  0.0000e+000  3.3653e-001  6.3286e-003
 1.426249e-007  4.0000e-001  0.0000e+000  0.0000e+000  2.7987e-001  4.5971e-002
 1.432499e-007  4.0000e-001  0.0000e+000  0.0000e+000  2.6326e-001  6.0578e-002
 1.459108e-007  4.0000e-001  0.0000e+000  0.0000e+000  2.1567e-001  7.8083e-002
 1.472413e-007  4.0000e-001  0.0000e+000  0.0000e+000  2.0388e-001  8.2718e-002
 1.512413e-007  4.0000e-001  0.0000e+000  0.0000e+000  1.8044e-001  8.8612e-002
 1.552413e-007  4.0000e-001  0.0000e+000  0.0000e+000  1.6583e-001  9.2206e-002
 1.592413e-007  4.0000e-001  0.0000e+000  0.0000e+000  1.5535e-001  9.3576e-002
 1.600000e-007  4.0000e-001  0.0000e+000  0.0000e+000  1.5375e-001  9.3906e-002
 1.605000e-007  2.0000e-001  0.0000e+000  2.0000e-001  1.5184e-001  9.7522e-002
 1.610000e-007  0.0000e+000  0.0000e+000  4.0000e-001  5.2127e-002  1.2779e-001
 1.612499e-007  0.0000e+000  0.0000e+000  4.0000e-001  3.1440e-002  1.4640e-001
 1.613750e-007  0.0000e+000  0.0000e+000  4.0000e-001  2.4471e-002  1.5772e-001
 1.626249e-007  0.0000e+000  0.0000e+000  4.0000e-001  2.7087e-003  2.8772e-001
 1.647087e-007  0.0000e+000  0.0000e+000  4.0000e-001  8.6550e-003  3.6647e-001
 1.657506e-007  0.0000e+000  0.0000e+000  4.0000e-001  3.6276e-003  3.6481e-001
 1.697506e-007  0.0000e+000  0.0000e+000  4.0000e-001  5.9555e-003  3.7051e-001
 1.737506e-007  0.0000e+000  0.0000e+000  4.0000e-001  3.9599e-003  3.6724e-001
 1.777506e-007  0.0000e+000  0.0000e+000  4.0000e-001  5.6129e-003  3.6959e-001
 1.817506e-007  0.0000e+000  0.0000e+000  4.0000e-001  4.2710e-003  3.6771e-001
 1.857506e-007  0.0000e+000  0.0000e+000  4.0000e-001  5.3534e-003  3.6926e-001
 1.897506e-007  0.0000e+000  0.0000e+000  4.0000e-001  4.4856e-003  3.6796e-001
 1.937506e-007  0.0000e+000  0.0000e+000  4.0000e-001  5.1782e-003  3.6905e-001
 1.977506e-007  0.0000e+000  0.0000e+000  4.0000e-001  4.6288e-003  3.6813e-001
 1.999999e-007  0.0000e+000  0.0000e+000  4.0000e-001  5.0285e-003  3.6886e-001
 2.005000e-007  0.0000e+000  2.0000e-001  2.0000e-001  4.1122e-003  3.6733e-001
 2.007499e-007  0.0000e+000  3.0000e-001  1.0000e-001  6.0800e-003  3.6758e-001
 2.009999e-007  0.0000e+000  4.0000e-001  1.0603e-014  7.5350e-003  3.6761e-001
 2.014751e-007  0.0000e+000  4.0000e-001  0.0000e+000  9.1354e-003  3.6832e-001
 2.017127e-007  0.0000e+000  4.0000e-001  0.0000e+000  9.6018e-003  3.6850e-001
 2.039725e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0647e-002  3.6861e-001
 2.051024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0229e-002  3.6836e-001
 2.091024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0395e-002  3.6844e-001
 2.111024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0290e-002  3.6838e-001
 2.151024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0352e-002  3.6842e-001
 2.191024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0307e-002  3.6839e-001
 2.231024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0340e-002  3.6841e-001
 2.271024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0316e-002  3.6840e-001
 2.311024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0333e-002  3.6841e-001
 2.351024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0321e-002  3.6840e-001
 2.391024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0330e-002  3.6841e-001
 2.399999e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0325e-002  3.6840e-001
 2.404999e-007  2.0000e-001  4.0000e-001  0.0000e+000  1.5423e-002  3.7856e-001
 2.410000e-007  4.0000e-001  4.0000e-001  0.0000e+000  7.5138e-003  3.6529e-001
 2.412500e-007  4.0000e-001  4.0000e-001  0.0000e+000  5.0892e-003  3.4584e-001
 2.413750e-007  4.0000e-001  4.0000e-001  0.0000e+000  6.3308e-003  3.3653e-001
 2.426250e-007  4.0000e-001  4.0000e-001  0.0000e+000  4.5971e-002  2.7987e-001
 2.432500e-007  4.0000e-001  4.0000e-001  0.0000e+000  6.0580e-002  2.6326e-001
 2.459108e-007  4.0000e-001  4.0000e-001  0.0000e+000  7.8085e-002  2.1568e-001
